kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-cluster-count,recipes_10,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 10, ""rho"": 0.061}",4000,20260960,0.893,0.004887509590783428,0.3105,0.071,0.5568069249806855,undefined_present
snap-r6-cluster-count,recipes_10,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 10, ""rho"": 0.061}",4000,20260960,0.951,0.003413173010557773,0.42,0.00075,0.48322309584285095,undefined_present
snap-r6-cluster-count,recipes_15,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 15, ""rho"": 0.061}",4000,20260960,0.9415,0.003710719269899031,0.7935,0.0,0.32086037959427105,all_defined
snap-r6-cluster-count,recipes_15,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 15, ""rho"": 0.061}",4000,20260960,0.94175,0.0037032734674879203,0.79875,0.0,0.3197694380305568,all_defined
snap-r6-cluster-count,recipes_15,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 15, ""rho"": 0.061}",4000,20260960,0.9315,0.00399398766898447,0.453,0.0225,0.4553151471091008,undefined_present
snap-r6-cluster-count,recipes_15,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 15, ""rho"": 0.061}",4000,20260960,0.9445,0.0036200742395702326,0.58875,0.0,0.3866486039503706,all_defined
snap-r6-cluster-count,recipes_25,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 25, ""rho"": 0.061}",4000,20260960,0.94225,0.003688324060464318,0.96925,0.0,0.241871099422867,all_defined
snap-r6-cluster-count,recipes_25,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 25, ""rho"": 0.061}",4000,20260960,0.94175,0.0037032734674879203,0.96825,0.0,0.2408011603420268,all_defined
snap-r6-cluster-count,recipes_25,wild_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 25, ""rho"": 0.061}",4000,20260960,0.954,0.003312249990565327,0.61975,0.008,0.3611377309868413,undefined_present
snap-r6-cluster-count,recipes_25,cluster_t_size,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 25, ""rho"": 0.061}",4000,20260960,0.94925,0.003470390377896987,0.8065,0.0,0.303228019405153,all_defined
snap-r6-cluster-count,recipes_40,wild_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 40, ""rho"": 0.061}",4000,20260960,0.94625,0.003565842729986839,0.9985,0.0,0.18769335699280276,all_defined
snap-r6-cluster-count,recipes_40,cluster_t_recipe,1.2445882853377657,"{""noise_sd"": 0.73, ""recipes"": 40, ""rho"": 0.061}",4000,20260960,0.94725,0.0035343824602043273,0.9985,0.0,0.18751703170337908,all_defined
